Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
102624,07-08-2027 08:27,06-08-2027 22:27,06-08-2027 22:27,Nagpur,321,ASSAULT,51,M,None,Other Crime,20,No,
102625,26-02-2027 14:12,23-02-2027 21:12,23-02-2027 21:12,Patna,574,COUNTERFEITING,54,M,None,Traffic Fatality,16,No,
102626,17-06-2027 08:30,16-06-2027 15:30,16-06-2027 15:30,Hyderabad,282,FRAUD,11,F,Poison,Violent Crime,2,No,
102627,28-12-2027 15:31,26-12-2027 14:31,26-12-2027 14:31,Surat,457,COUNTERFEITING,57,M,Poison,Other Crime,5,Yes,07-02-2028 15:31
102628,13-06-2027 06:09,12-06-2027 20:09,12-06-2027 20:09,Chennai,148,SEXUAL ASSAULT,56,M,Poison,Other Crime,2,Yes,28-07-2027 06:09
102629,19-02-2027 16:47,19-02-2027 12:47,19-02-2027 12:47,Visakhapatnam,560,COUNTERFEITING,78,F,Explosives,Violent Crime,1,Yes,19-04-2027 16:47
102630,01-09-2027 08:11,30-08-2027 04:11,30-08-2027 04:11,Bangalore,458,SHOPLIFTING,14,F,Other,Other Crime,22,Yes,03-10-2027 08:11
102631,28-08-2027 19:56,28-08-2027 02:56,28-08-2027 02:56,Patna,313,FIREARM OFFENSE,51,F,None,Other Crime,26,No,
102632,29-08-2027 17:44,29-08-2027 17:44,29-08-2027 17:44,Srinagar,441,PUBLIC INTOXICATION,58,M,Knife,Traffic Fatality,14,No,
102633,17-02-2027 04:32,15-02-2027 01:32,15-02-2027 01:32,Bhopal,583,COUNTERFEITING,11,F,Explosives,Fire Accident,29,Yes,01-05-2027 04:32
102634,25-10-2027 22:02,23-10-2027 12:02,23-10-2027 12:02,Ahmedabad,161,KIDNAPPING,33,F,Poison,Other Crime,4,Yes,07-12-2027 22:02
102635,11-09-2027 05:10,10-09-2027 15:10,10-09-2027 15:10,Patna,385,EXTORTION,46,M,Poison,Violent Crime,21,Yes,18-10-2027 05:10
102636,24-06-2027 23:25,22-06-2027 19:25,22-06-2027 19:25,Visakhapatnam,419,ILLEGAL POSSESSION,18,M,Blunt Object,Violent Crime,7,Yes,07-07-2027 23:25
102637,16-06-2027 10:49,14-06-2027 22:49,14-06-2027 22:49,Kanpur,112,ROBBERY,48,M,Knife,Violent Crime,18,Yes,08-08-2027 10:49
102638,04-07-2027 10:57,02-07-2027 20:57,02-07-2027 20:57,Surat,348,FIREARM OFFENSE,21,M,Firearm,Other Crime,11,No,
102639,29-06-2027 14:01,27-06-2027 09:01,27-06-2027 09:01,Vasai,153,ASSAULT,55,M,Firearm,Traffic Fatality,11,No,
102640,05-01-2027 22:11,03-01-2027 22:11,03-01-2027 22:11,Patna,254,DRUG OFFENSE,16,M,Knife,Other Crime,29,Yes,03-03-2027 22:11
102641,09-03-2027 01:13,07-03-2027 20:13,07-03-2027 20:13,Mumbai,478,CYBERCRIME,21,M,Other,Fire Accident,24,Yes,20-03-2027 01:13
102642,17-09-2027 22:46,15-09-2027 06:46,15-09-2027 06:46,Pune,330,VEHICLE - STOLEN,44,M,Firearm,Violent Crime,21,Yes,10-11-2027 22:46
102643,20-10-2027 13:06,18-10-2027 19:06,18-10-2027 19:06,Indore,454,DRUG OFFENSE,50,F,Knife,Other Crime,11,Yes,29-12-2027 13:06
102644,30-09-2027 21:55,30-09-2027 19:55,30-09-2027 19:55,Chennai,375,ROBBERY,31,M,Knife,Violent Crime,23,Yes,23-12-2027 21:55
102645,28-08-2027 18:29,27-08-2027 10:29,27-08-2027 10:29,Thane,283,VEHICLE - STOLEN,42,M,Knife,Other Crime,28,No,
102646,26-01-2027 16:22,24-01-2027 07:22,24-01-2027 07:22,Patna,453,ILLEGAL POSSESSION,54,F,Other,Violent Crime,6,No,
102647,08-02-2027 14:02,06-02-2027 02:02,06-02-2027 02:02,Patna,329,DOMESTIC VIOLENCE,24,M,Firearm,Traffic Fatality,6,Yes,23-02-2027 14:02
102648,07-06-2027 10:14,05-06-2027 11:14,05-06-2027 11:14,Meerut,430,VANDALISM,44,F,Explosives,Violent Crime,22,No,
102649,15-01-2027 11:22,14-01-2027 22:22,14-01-2027 22:22,Nagpur,138,VANDALISM,24,F,Knife,Traffic Fatality,10,No,
102650,18-02-2027 03:32,16-02-2027 08:32,16-02-2027 08:32,Ludhiana,100,ILLEGAL POSSESSION,63,M,Explosives,Violent Crime,12,Yes,15-05-2027 03:32
102651,02-01-2027 22:06,02-01-2027 18:06,02-01-2027 18:06,Ghaziabad,387,HOMICIDE,27,F,Knife,Traffic Fatality,22,Yes,31-03-2027 22:06
102652,30-03-2027 14:04,28-03-2027 14:04,28-03-2027 14:04,Nagpur,455,HOMICIDE,55,F,Knife,Traffic Fatality,29,No,
102653,27-04-2027 10:10,25-04-2027 14:10,25-04-2027 14:10,Jaipur,118,ILLEGAL POSSESSION,53,M,Other,Fire Accident,2,No,
102654,13-04-2027 17:34,12-04-2027 23:34,12-04-2027 23:34,Kalyan,569,ILLEGAL POSSESSION,44,F,Other,Fire Accident,30,Yes,26-04-2027 17:34
102655,31-01-2027 04:00,29-01-2027 10:00,29-01-2027 10:00,Hyderabad,245,SEXUAL ASSAULT,66,M,Explosives,Traffic Fatality,27,Yes,13-04-2027 04:00
102656,31-12-2027 02:28,28-12-2027 06:28,28-12-2027 06:28,Mumbai,476,PUBLIC INTOXICATION,38,M,Firearm,Violent Crime,16,Yes,06-02-2028 02:28
102657,15-08-2027 07:50,15-08-2027 06:50,15-08-2027 06:50,Kalyan,250,SEXUAL ASSAULT,14,F,Poison,Traffic Fatality,3,Yes,13-10-2027 07:50
102658,12-03-2027 10:51,09-03-2027 23:51,09-03-2027 23:51,Meerut,508,SHOPLIFTING,77,M,Knife,Fire Accident,13,Yes,05-06-2027 10:51
102659,28-08-2027 12:20,26-08-2027 23:20,26-08-2027 23:20,Ludhiana,528,SEXUAL ASSAULT,26,F,Explosives,Traffic Fatality,9,No,
102660,26-05-2027 12:19,23-05-2027 23:19,23-05-2027 23:19,Agra,211,VEHICLE - STOLEN,18,F,Knife,Traffic Fatality,30,No,
102661,19-10-2027 03:44,17-10-2027 20:44,17-10-2027 20:44,Bhopal,339,CYBERCRIME,24,M,Firearm,Other Crime,15,No,
102662,18-07-2027 18:22,17-07-2027 20:22,17-07-2027 20:22,Agra,169,VANDALISM,48,M,Blunt Object,Other Crime,29,No,
102663,18-08-2027 18:00,16-08-2027 11:00,16-08-2027 11:00,Patna,588,TRAFFIC VIOLATION,76,F,Firearm,Other Crime,7,Yes,07-09-2027 18:00
102664,07-09-2027 17:40,07-09-2027 14:40,07-09-2027 14:40,Kolkata,544,ROBBERY,72,F,Firearm,Fire Accident,2,Yes,17-11-2027 17:40
102665,15-04-2027 22:32,14-04-2027 07:32,14-04-2027 07:32,Ghaziabad,515,HOMICIDE,34,F,None,Violent Crime,1,Yes,15-05-2027 22:32
102666,18-07-2027 04:46,17-07-2027 06:46,17-07-2027 06:46,Visakhapatnam,255,BURGLARY,39,F,Poison,Traffic Fatality,30,No,
102667,19-08-2027 17:20,17-08-2027 04:20,17-08-2027 04:20,Nashik,430,ILLEGAL POSSESSION,38,F,Other,Violent Crime,23,No,
102668,09-01-2027 01:54,07-01-2027 15:54,07-01-2027 15:54,Nagpur,183,HOMICIDE,43,F,None,Other Crime,16,No,
102669,19-03-2027 11:25,18-03-2027 12:25,18-03-2027 12:25,Visakhapatnam,171,VANDALISM,52,M,None,Other Crime,10,Yes,02-04-2027 11:25
102670,05-03-2027 09:18,05-03-2027 06:18,05-03-2027 06:18,Vasai,271,SHOPLIFTING,72,M,Firearm,Fire Accident,9,Yes,03-06-2027 09:18
102671,19-12-2027 13:06,17-12-2027 21:06,17-12-2027 21:06,Bangalore,200,ARSON,60,F,Firearm,Traffic Fatality,21,No,
102672,12-06-2027 11:49,09-06-2027 11:49,09-06-2027 11:49,Patna,505,ASSAULT,32,F,Firearm,Other Crime,30,Yes,14-07-2027 11:49
102673,01-11-2027 10:48,31-10-2027 22:48,31-10-2027 22:48,Srinagar,234,BURGLARY,38,M,Poison,Traffic Fatality,26,No,
102674,15-02-2027 16:16,14-02-2027 22:16,14-02-2027 22:16,Mumbai,442,ROBBERY,78,M,Poison,Violent Crime,10,No,
102675,16-07-2027 07:21,15-07-2027 02:21,15-07-2027 02:21,Kalyan,487,FIREARM OFFENSE,51,F,Explosives,Fire Accident,10,Yes,01-09-2027 07:21
102676,22-03-2027 21:04,22-03-2027 10:04,22-03-2027 10:04,Chennai,434,HOMICIDE,75,F,Explosives,Violent Crime,22,Yes,03-05-2027 21:04
102677,01-04-2027 18:50,30-03-2027 17:50,30-03-2027 17:50,Visakhapatnam,594,SEXUAL ASSAULT,70,F,Other,Traffic Fatality,10,Yes,12-06-2027 18:50
102678,09-04-2027 09:19,08-04-2027 13:19,08-04-2027 13:19,Nagpur,330,DRUG OFFENSE,39,F,Other,Other Crime,28,Yes,27-05-2027 09:19
102679,25-05-2027 21:45,25-05-2027 16:45,25-05-2027 16:45,Varanasi,477,HOMICIDE,35,M,Other,Traffic Fatality,19,Yes,30-07-2027 21:45
102680,26-08-2027 16:08,25-08-2027 09:08,25-08-2027 09:08,Indore,277,IDENTITY THEFT,37,M,Blunt Object,Other Crime,26,No,
102681,02-08-2027 22:52,02-08-2027 00:52,02-08-2027 00:52,Surat,380,ILLEGAL POSSESSION,34,F,None,Fire Accident,1,Yes,12-09-2027 22:52
102682,19-07-2027 23:28,17-07-2027 08:28,17-07-2027 08:28,Ludhiana,599,FIREARM OFFENSE,51,M,None,Fire Accident,29,Yes,13-08-2027 23:28
102683,08-05-2027 20:16,08-05-2027 18:16,08-05-2027 18:16,Varanasi,551,VEHICLE - STOLEN,40,F,Blunt Object,Other Crime,14,Yes,01-06-2027 20:16
102684,01-08-2027 02:12,29-07-2027 09:12,29-07-2027 09:12,Thane,119,EXTORTION,79,M,Explosives,Fire Accident,22,Yes,17-08-2027 02:12
102685,10-01-2027 20:21,10-01-2027 02:21,10-01-2027 02:21,Delhi,431,ASSAULT,68,F,Knife,Fire Accident,18,No,
102686,18-02-2027 15:34,16-02-2027 18:34,16-02-2027 18:34,Nagpur,110,COUNTERFEITING,51,M,Poison,Traffic Fatality,20,No,
102687,15-10-2027 04:46,13-10-2027 23:46,13-10-2027 23:46,Varanasi,469,HOMICIDE,49,M,Other,Traffic Fatality,4,Yes,29-12-2027 04:46
102688,02-04-2027 23:48,02-04-2027 20:48,02-04-2027 20:48,Hyderabad,341,ARSON,80,F,Blunt Object,Other Crime,29,Yes,14-04-2027 23:48
102689,13-06-2027 07:50,10-06-2027 20:50,10-06-2027 20:50,Patna,417,SEXUAL ASSAULT,39,F,None,Fire Accident,22,No,
102690,03-01-2027 00:50,02-01-2027 04:50,02-01-2027 04:50,Lucknow,196,VANDALISM,72,F,Poison,Traffic Fatality,6,Yes,08-03-2027 00:50
102691,30-09-2027 17:38,28-09-2027 16:38,28-09-2027 16:38,Lucknow,156,KIDNAPPING,72,F,Explosives,Other Crime,25,No,
102692,18-08-2027 20:28,18-08-2027 05:28,18-08-2027 05:28,Kanpur,442,SHOPLIFTING,15,M,Knife,Other Crime,4,No,
102693,25-02-2027 19:14,24-02-2027 23:14,24-02-2027 23:14,Kalyan,413,VANDALISM,29,M,Poison,Traffic Fatality,16,Yes,10-03-2027 19:14
102694,15-09-2027 09:37,13-09-2027 00:37,13-09-2027 00:37,Vasai,233,BURGLARY,80,M,Poison,Other Crime,4,Yes,26-10-2027 09:37
102695,20-06-2027 04:16,19-06-2027 01:16,19-06-2027 01:16,Nashik,205,SEXUAL ASSAULT,43,M,None,Violent Crime,15,Yes,29-08-2027 04:16
102696,02-02-2027 12:12,01-02-2027 10:12,01-02-2027 10:12,Delhi,187,FRAUD,68,F,Blunt Object,Violent Crime,28,Yes,03-03-2027 12:12
102697,28-01-2027 22:50,28-01-2027 16:50,28-01-2027 16:50,Nagpur,466,PUBLIC INTOXICATION,48,F,Knife,Traffic Fatality,18,No,
102698,01-11-2027 01:58,30-10-2027 07:58,30-10-2027 07:58,Agra,581,DOMESTIC VIOLENCE,66,F,Explosives,Fire Accident,2,No,
102699,12-06-2027 02:37,10-06-2027 02:37,10-06-2027 02:37,Meerut,212,ILLEGAL POSSESSION,54,F,Explosives,Fire Accident,18,Yes,01-08-2027 02:37
102700,19-06-2027 04:11,16-06-2027 13:11,16-06-2027 13:11,Nagpur,415,ASSAULT,20,M,Poison,Traffic Fatality,1,Yes,07-07-2027 04:11
102701,29-06-2027 10:42,27-06-2027 04:42,27-06-2027 04:42,Pune,361,IDENTITY THEFT,74,M,Knife,Fire Accident,1,Yes,31-08-2027 10:42
102702,07-02-2027 10:42,04-02-2027 10:42,04-02-2027 10:42,Jaipur,486,DRUG OFFENSE,19,F,Blunt Object,Traffic Fatality,12,Yes,17-02-2027 10:42
102703,01-08-2027 23:29,01-08-2027 20:29,01-08-2027 20:29,Bhopal,441,SEXUAL ASSAULT,30,F,Knife,Violent Crime,23,Yes,03-09-2027 23:29
102704,14-03-2027 09:45,13-03-2027 14:45,13-03-2027 14:45,Vasai,546,CYBERCRIME,32,M,Explosives,Violent Crime,10,No,
102705,19-07-2027 21:28,18-07-2027 23:28,18-07-2027 23:28,Patna,230,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,11,Yes,13-09-2027 21:28
102706,25-02-2027 15:59,25-02-2027 13:59,25-02-2027 13:59,Ghaziabad,248,FIREARM OFFENSE,50,M,Other,Traffic Fatality,1,No,
102707,24-07-2027 20:50,24-07-2027 00:50,24-07-2027 00:50,Patna,506,VEHICLE - STOLEN,21,M,Other,Violent Crime,16,No,
102708,10-01-2027 20:24,08-01-2027 04:24,08-01-2027 04:24,Ghaziabad,573,ARSON,30,F,None,Traffic Fatality,28,No,
102709,11-12-2027 06:08,09-12-2027 02:08,09-12-2027 02:08,Thane,566,ARSON,62,F,Other,Other Crime,1,No,
102710,04-09-2027 11:26,02-09-2027 01:26,02-09-2027 01:26,Meerut,358,ARSON,40,M,Poison,Traffic Fatality,6,No,
102711,07-07-2027 16:31,04-07-2027 21:31,04-07-2027 21:31,Bangalore,587,ARSON,22,F,Other,Traffic Fatality,21,No,
102712,09-03-2027 06:35,08-03-2027 23:35,08-03-2027 23:35,Faridabad,334,BURGLARY,34,F,None,Other Crime,18,Yes,15-03-2027 06:35
102713,03-07-2027 18:28,03-07-2027 16:28,03-07-2027 16:28,Varanasi,117,EXTORTION,42,M,Other,Violent Crime,16,No,
102714,15-06-2027 00:19,13-06-2027 03:19,13-06-2027 03:19,Varanasi,136,ASSAULT,24,F,Knife,Fire Accident,21,Yes,23-07-2027 00:19
102715,28-05-2027 15:27,28-05-2027 05:27,28-05-2027 05:27,Vasai,359,SEXUAL ASSAULT,17,M,Firearm,Violent Crime,28,No,
102716,24-07-2027 13:22,22-07-2027 04:22,22-07-2027 04:22,Meerut,465,ROBBERY,59,M,Knife,Fire Accident,2,Yes,09-10-2027 13:22
102717,08-03-2027 02:18,06-03-2027 01:18,06-03-2027 01:18,Nagpur,205,FRAUD,80,F,Poison,Violent Crime,18,Yes,01-05-2027 02:18
102718,03-12-2027 07:20,30-11-2027 15:20,30-11-2027 15:20,Jaipur,352,HOMICIDE,77,M,Poison,Violent Crime,21,No,
102719,21-06-2027 07:59,19-06-2027 15:59,19-06-2027 15:59,Kanpur,431,SHOPLIFTING,67,M,Blunt Object,Traffic Fatality,13,No,
102720,27-09-2027 04:47,25-09-2027 17:47,25-09-2027 17:47,Srinagar,277,CYBERCRIME,26,F,Knife,Violent Crime,17,Yes,14-12-2027 04:47
102721,06-09-2027 08:04,05-09-2027 21:04,05-09-2027 21:04,Kanpur,482,BURGLARY,63,F,Other,Violent Crime,1,No,
102722,24-03-2027 17:37,22-03-2027 05:37,22-03-2027 05:37,Bangalore,172,IDENTITY THEFT,64,F,Blunt Object,Other Crime,20,Yes,08-04-2027 17:37
102723,29-04-2027 07:35,27-04-2027 08:35,27-04-2027 08:35,Jaipur,546,BURGLARY,27,F,Other,Other Crime,27,Yes,24-05-2027 07:35
102724,05-03-2027 16:50,03-03-2027 02:50,03-03-2027 02:50,Bhopal,532,KIDNAPPING,22,M,Explosives,Fire Accident,27,No,
102725,14-06-2027 09:25,11-06-2027 21:25,11-06-2027 21:25,Surat,451,ILLEGAL POSSESSION,44,M,Explosives,Fire Accident,6,No,
102726,27-01-2027 12:06,26-01-2027 01:06,26-01-2027 01:06,Kalyan,283,ROBBERY,69,F,Explosives,Traffic Fatality,6,No,
102727,21-03-2027 22:50,19-03-2027 18:50,19-03-2027 18:50,Faridabad,332,COUNTERFEITING,71,F,Explosives,Other Crime,3,No,
102728,22-05-2027 13:46,19-05-2027 17:46,19-05-2027 17:46,Faridabad,170,DOMESTIC VIOLENCE,54,M,Knife,Fire Accident,29,Yes,14-08-2027 13:46
102729,02-05-2027 03:45,29-04-2027 08:45,29-04-2027 08:45,Hyderabad,133,ASSAULT,18,F,Blunt Object,Traffic Fatality,4,Yes,15-05-2027 03:45
102730,08-03-2027 20:13,07-03-2027 10:13,07-03-2027 10:13,Thane,203,ROBBERY,60,M,None,Fire Accident,24,Yes,16-05-2027 20:13
102731,04-11-2027 04:46,04-11-2027 03:46,04-11-2027 03:46,Kolkata,125,HOMICIDE,39,F,None,Violent Crime,13,Yes,12-01-2028 04:46
102732,10-06-2027 00:24,09-06-2027 23:24,09-06-2027 23:24,Thane,450,ASSAULT,76,F,Knife,Traffic Fatality,29,Yes,19-07-2027 00:24
102733,17-11-2027 05:14,15-11-2027 18:14,15-11-2027 18:14,Patna,468,ARSON,22,F,Knife,Traffic Fatality,15,Yes,14-12-2027 05:14
102734,29-10-2027 21:05,29-10-2027 03:05,29-10-2027 03:05,Visakhapatnam,524,VEHICLE - STOLEN,46,F,Knife,Traffic Fatality,12,Yes,12-01-2028 21:05
102735,03-10-2027 23:14,02-10-2027 17:14,02-10-2027 17:14,Indore,335,ROBBERY,24,M,Other,Other Crime,5,Yes,27-12-2027 23:14
102736,22-05-2027 10:11,20-05-2027 11:11,20-05-2027 11:11,Indore,247,VANDALISM,34,M,None,Other Crime,8,No,
102737,31-08-2027 01:27,29-08-2027 05:27,29-08-2027 05:27,Lucknow,433,KIDNAPPING,78,F,None,Other Crime,15,Yes,14-10-2027 01:27
102738,21-04-2027 20:12,20-04-2027 06:12,20-04-2027 06:12,Srinagar,254,KIDNAPPING,68,F,Knife,Fire Accident,2,Yes,27-05-2027 20:12
102739,13-03-2027 02:14,13-03-2027 02:14,13-03-2027 02:14,Ghaziabad,314,BURGLARY,58,F,Poison,Violent Crime,22,No,
102740,13-02-2027 10:37,12-02-2027 04:37,12-02-2027 04:37,Pune,293,CYBERCRIME,65,M,Firearm,Violent Crime,10,Yes,20-04-2027 10:37
102741,12-06-2027 23:15,12-06-2027 23:15,12-06-2027 23:15,Varanasi,348,ARSON,16,F,Blunt Object,Other Crime,11,Yes,17-08-2027 23:15
102742,11-10-2027 09:24,10-10-2027 02:24,10-10-2027 02:24,Vasai,205,HOMICIDE,68,F,Firearm,Violent Crime,24,Yes,09-11-2027 09:24
102743,12-02-2027 12:36,09-02-2027 20:36,09-02-2027 20:36,Kalyan,146,CYBERCRIME,13,F,Explosives,Violent Crime,11,No,
102744,29-12-2027 01:39,26-12-2027 04:39,26-12-2027 04:39,Varanasi,201,IDENTITY THEFT,34,F,Poison,Other Crime,17,No,
102745,06-05-2027 04:10,03-05-2027 11:10,03-05-2027 11:10,Patna,108,PUBLIC INTOXICATION,56,M,None,Traffic Fatality,18,No,
102746,15-12-2027 18:32,15-12-2027 16:32,15-12-2027 16:32,Kolkata,114,FRAUD,30,F,None,Traffic Fatality,6,No,
102747,22-06-2027 08:11,22-06-2027 08:11,22-06-2027 08:11,Lucknow,424,DOMESTIC VIOLENCE,61,F,Knife,Fire Accident,22,No,
102748,10-04-2027 00:06,09-04-2027 05:06,09-04-2027 05:06,Indore,468,VANDALISM,23,F,None,Violent Crime,23,No,
102749,11-09-2027 02:12,10-09-2027 16:12,10-09-2027 16:12,Lucknow,513,SHOPLIFTING,28,M,None,Violent Crime,14,No,
102750,29-07-2027 20:24,28-07-2027 14:24,28-07-2027 14:24,Rajkot,434,IDENTITY THEFT,52,F,Knife,Fire Accident,22,No,
102751,10-10-2027 03:13,08-10-2027 09:13,08-10-2027 09:13,Jaipur,479,COUNTERFEITING,79,M,Knife,Other Crime,19,No,
102752,19-01-2027 10:28,16-01-2027 17:28,16-01-2027 17:28,Kolkata,477,IDENTITY THEFT,27,M,Poison,Violent Crime,2,No,
102753,30-09-2027 12:35,29-09-2027 12:35,29-09-2027 12:35,Ahmedabad,408,SEXUAL ASSAULT,41,F,Blunt Object,Other Crime,19,No,
102754,28-04-2027 08:13,27-04-2027 17:13,27-04-2027 17:13,Indore,458,ROBBERY,40,M,Explosives,Other Crime,27,Yes,13-06-2027 08:13
102755,08-12-2027 05:49,06-12-2027 23:49,06-12-2027 23:49,Hyderabad,305,DOMESTIC VIOLENCE,76,M,Explosives,Other Crime,1,No,
102756,05-04-2027 00:14,02-04-2027 20:14,02-04-2027 20:14,Mumbai,496,DOMESTIC VIOLENCE,30,F,None,Traffic Fatality,9,Yes,19-05-2027 00:14
102757,24-10-2027 04:54,22-10-2027 09:54,22-10-2027 09:54,Agra,214,VEHICLE - STOLEN,28,M,Blunt Object,Violent Crime,10,Yes,16-12-2027 04:54
102758,01-01-2028 16:28,29-12-2027 23:28,29-12-2027 23:28,Rajkot,109,SEXUAL ASSAULT,70,M,Blunt Object,Fire Accident,15,Yes,30-03-2028 16:28
102759,04-03-2027 18:12,03-03-2027 21:12,03-03-2027 21:12,Rajkot,422,KIDNAPPING,52,F,Explosives,Fire Accident,1,No,
102760,13-06-2027 18:51,12-06-2027 11:51,12-06-2027 11:51,Meerut,325,FRAUD,25,M,Explosives,Fire Accident,15,No,
102761,26-12-2027 04:10,23-12-2027 12:10,23-12-2027 12:10,Meerut,260,ROBBERY,25,M,None,Violent Crime,24,Yes,26-02-2028 04:10
102762,04-07-2027 22:43,03-07-2027 12:43,03-07-2027 12:43,Kalyan,219,VANDALISM,62,F,Blunt Object,Other Crime,29,No,
102763,29-06-2027 19:11,29-06-2027 17:11,29-06-2027 17:11,Ghaziabad,278,FRAUD,20,F,Firearm,Violent Crime,24,No,
102764,11-02-2027 22:24,11-02-2027 03:24,11-02-2027 03:24,Lucknow,113,VEHICLE - STOLEN,51,M,Poison,Traffic Fatality,4,Yes,11-03-2027 22:24
102765,18-10-2027 23:51,17-10-2027 03:51,17-10-2027 03:51,Mumbai,278,SHOPLIFTING,30,M,None,Violent Crime,23,Yes,01-01-2028 23:51
102766,08-02-2027 21:22,06-02-2027 03:22,06-02-2027 03:22,Indore,282,VANDALISM,46,M,Firearm,Traffic Fatality,10,No,
102767,14-01-2027 22:50,13-01-2027 13:50,13-01-2027 13:50,Delhi,310,DOMESTIC VIOLENCE,18,M,Knife,Violent Crime,23,No,
102768,15-05-2027 23:25,13-05-2027 01:25,13-05-2027 01:25,Varanasi,282,COUNTERFEITING,29,M,Explosives,Traffic Fatality,14,Yes,06-07-2027 23:25
102769,18-05-2027 00:55,16-05-2027 02:55,16-05-2027 02:55,Ahmedabad,564,KIDNAPPING,77,M,Knife,Other Crime,20,Yes,22-06-2027 00:55
102770,09-09-2027 19:05,09-09-2027 07:05,09-09-2027 07:05,Ghaziabad,501,DRUG OFFENSE,11,M,Explosives,Traffic Fatality,3,No,
102771,10-10-2027 03:40,08-10-2027 17:40,08-10-2027 17:40,Kanpur,271,SEXUAL ASSAULT,26,M,Explosives,Traffic Fatality,29,No,
102772,20-10-2027 15:14,19-10-2027 23:14,19-10-2027 23:14,Delhi,404,FRAUD,37,M,Knife,Traffic Fatality,21,No,
102773,12-04-2027 03:50,09-04-2027 06:50,09-04-2027 06:50,Agra,492,COUNTERFEITING,64,M,Knife,Traffic Fatality,4,Yes,04-07-2027 03:50
102774,01-07-2027 17:43,29-06-2027 09:43,29-06-2027 09:43,Bangalore,536,ARSON,30,F,Knife,Other Crime,25,No,
102775,01-01-2028 18:45,30-12-2027 06:45,30-12-2027 06:45,Agra,118,COUNTERFEITING,79,M,Other,Traffic Fatality,3,Yes,25-01-2028 18:45
102776,14-08-2027 14:32,12-08-2027 16:32,12-08-2027 16:32,Mumbai,311,FIREARM OFFENSE,71,F,Knife,Fire Accident,18,No,
102777,10-04-2027 14:55,08-04-2027 02:55,08-04-2027 02:55,Mumbai,317,SEXUAL ASSAULT,20,F,Other,Fire Accident,19,No,
102778,03-12-2027 00:49,01-12-2027 23:49,01-12-2027 23:49,Hyderabad,333,DOMESTIC VIOLENCE,25,F,Blunt Object,Fire Accident,6,No,
102779,27-03-2027 11:11,26-03-2027 21:11,26-03-2027 21:11,Kanpur,402,CYBERCRIME,71,F,Explosives,Violent Crime,27,No,
102780,08-03-2027 20:16,06-03-2027 03:16,06-03-2027 03:16,Nashik,325,BURGLARY,57,F,Poison,Fire Accident,27,No,
102781,09-04-2027 10:10,07-04-2027 17:10,07-04-2027 17:10,Rajkot,452,TRAFFIC VIOLATION,13,M,Knife,Fire Accident,27,No,
102782,14-09-2027 10:40,12-09-2027 19:40,12-09-2027 19:40,Kalyan,137,ILLEGAL POSSESSION,25,F,None,Traffic Fatality,21,No,
102783,25-10-2027 19:54,24-10-2027 12:54,24-10-2027 12:54,Kolkata,268,DRUG OFFENSE,30,M,Other,Fire Accident,11,Yes,14-01-2028 19:54
102784,29-12-2027 16:47,28-12-2027 09:47,28-12-2027 09:47,Agra,215,SHOPLIFTING,15,F,Other,Traffic Fatality,1,No,
102785,02-10-2027 15:24,02-10-2027 03:24,02-10-2027 03:24,Rajkot,105,VANDALISM,80,F,Explosives,Other Crime,7,Yes,29-12-2027 15:24
102786,18-03-2027 16:12,17-03-2027 18:12,17-03-2027 18:12,Mumbai,149,VANDALISM,61,M,Firearm,Traffic Fatality,19,No,
102787,29-07-2027 20:17,28-07-2027 14:17,28-07-2027 14:17,Vasai,245,BURGLARY,20,F,Firearm,Traffic Fatality,25,No,
102788,24-03-2027 05:19,23-03-2027 16:19,23-03-2027 16:19,Patna,358,ILLEGAL POSSESSION,14,M,Blunt Object,Other Crime,27,Yes,14-04-2027 05:19
102789,21-03-2027 09:10,21-03-2027 09:10,21-03-2027 09:10,Agra,463,ASSAULT,11,F,None,Other Crime,8,No,
102790,14-02-2027 02:17,11-02-2027 18:17,11-02-2027 18:17,Delhi,145,ROBBERY,80,F,Firearm,Traffic Fatality,9,No,
102791,24-03-2027 11:09,23-03-2027 07:09,23-03-2027 07:09,Lucknow,403,FRAUD,58,F,None,Fire Accident,17,No,
102792,12-04-2027 17:05,10-04-2027 11:05,10-04-2027 11:05,Chennai,401,IDENTITY THEFT,19,F,Explosives,Other Crime,11,Yes,12-05-2027 17:05
102793,31-07-2027 11:50,29-07-2027 01:50,29-07-2027 01:50,Srinagar,302,BURGLARY,61,M,Poison,Traffic Fatality,30,Yes,11-08-2027 11:50
102794,04-10-2027 16:51,04-10-2027 09:51,04-10-2027 09:51,Kanpur,537,KIDNAPPING,65,M,Blunt Object,Fire Accident,5,Yes,01-01-2028 16:51
102795,12-02-2027 03:15,09-02-2027 18:15,09-02-2027 18:15,Meerut,235,ARSON,80,F,Blunt Object,Other Crime,11,No,
102796,22-01-2027 06:11,21-01-2027 01:11,21-01-2027 01:11,Hyderabad,129,SEXUAL ASSAULT,78,M,Explosives,Traffic Fatality,24,No,
102797,18-05-2027 03:57,16-05-2027 11:57,16-05-2027 11:57,Visakhapatnam,379,EXTORTION,27,M,Poison,Traffic Fatality,9,No,
